txn_id,upi_ref,sender_vpa,sender_id,recv_vpa,recv_id,amount_inr,timestamp,sender_state,recv_state,sender_bank,recv_bank,is_fraud,layer
e9c87691-64bc-40,UPI0001002486,qzxebb9e@okaxis,8ebd5aae-250,so8w5038@okaxis,0a9225e3-208,144303,2024-03-17T19:15:08,West Bengal,Karnataka,Kotak,Axis,0,clean
c72e9a69-c146-4e,UPI0001000449,z09wftbg@upi,69681540-b97,ufm8zov7@paytm,713db7ca-950,185890,2024-03-15T14:06:40,Kerala,Tamil Nadu,Kotak,Kotak,0,clean
44c5ea94-2b06-4f,UPI0001001279,tkcd0rle@okaxis,ba81f20d-2be,4vssrura@upi,955c4234-bff,138609,2024-03-16T20:50:44,Gujarat,Gujarat,SBI,PNB,0,clean
186ecb46-3e28-42,UPI0001000074,1bcppvoh@icici,328ed257-23e,hgbmfbuv@upi,aab2c0e3-bcd,184822,2024-03-17T13:41:50,Karnataka,West Bengal,SBI,SBI,0,clean
570ac68b-10d5-43,UPI0001003946,w7kyhqin@upi,79bd47f7-d48,wsozctwj@paytm,06c76465-950,7706,2024-03-18T09:14:32,Telangana,Maharashtra,Kotak,SBI,0,clean
94362e50-4e0b-4d,UPI0001004094,jcn9j3gc@okaxis,59d7c029-a96,3dd03uvu@upi,cf3db828-3cc,98636,2024-03-16T19:25:08,Tamil Nadu,Tamil Nadu,Kotak,PNB,0,clean
c7d902ca-d21a-4b,UPI0001001511,2sds8b25@icici,bd9e7438-8f4,7azv2efu@ibl,68d7613a-6e9,173077,2024-03-16T10:00:08,Telangana,Telangana,ICICI,SBI,0,clean
b34f110e-029f-42,UPI0001002412,ftaxp0wf@apl,c8a9e7b7-950,7rb1s9dw@ibl,fdf65419-e86,2449,2024-03-17T03:25:29,Gujarat,Tamil Nadu,Kotak,PNB,0,clean
7e172a7c-49a8-4d,UPI0001003277,vpw232ut@icici,10888114-863,9mda9oek@upi,3941c113-d9b,40600,2024-03-15T21:06:32,Gujarat,Gujarat,HDFC,Kotak,0,clean
1ecc61e7-2bdd-4e,UPI0001004509,zbcgjc36@apl,a45a1f06-4cb,ng2igsb9@oksbi,b7684321-a5d,58898,2024-03-16T19:13:01,Telangana,Telangana,Axis,Kotak,0,clean
0aa67be9-c38d-43,UPI0001001172,wtg1m8xf@ibl,34f68cde-274,a3kkrzd5@oksbi,e9b226cc-92f,76464,2024-03-18T10:12:10,Kerala,Maharashtra,HDFC,ICICI,0,clean
c3a863b3-0777-49,UPI0001004223,wjeyub19@icici,2328b533-d95,n4regb1a@paytm,29d0cf3a-270,66716,2024-03-16T05:27:54,Karnataka,Gujarat,Axis,Axis,0,clean
a56d42fa-f643-4f,UPI0001003244,et8t63j3@axl,e4ac4b23-0d3,nfnvuprt@oksbi,1afaa772-d85,146255,2024-03-18T04:32:45,Karnataka,Karnataka,BOB,Kotak,0,clean
b59d9a02-2dd0-47,UPI0001001066,ytwbozd1@ybl,9637a7ac-2e7,b9w4uov5@paytm,1dff960e-c72,47850,2024-03-15T21:34:31,Tamil Nadu,West Bengal,Kotak,PNB,0,clean
e7613c2d-f97e-4a,UPI0001003116,rlf8a9ke@axl,0a10972f-813,fgzvrctl@icici,8e73c27c-e02,94480,2024-03-17T21:24:40,Kerala,Karnataka,PNB,BOB,0,clean
8b4d8a51-3d1a-4d,UPI0001003002,1g1r1dww@apl,2645ceb7-5d8,u7fbmenu@okaxis,2b0e6e2e-1f6,104016,2024-03-16T12:56:20,Karnataka,Kerala,Axis,ICICI,0,clean
dae88d90-b1d6-4b,UPI0001002585,likwe4bx@upi,9bb85d81-e50,1uu7zy6t@apl,d28e8866-080,132852,2024-03-18T02:18:20,Telangana,Tamil Nadu,BOB,BOB,0,clean
50d059d4-6113-48,UPI0001000030,fazz81sd@paytm,4e1490f5-c9d,8fsv871y@paytm,c75f720c-459,157821,2024-03-15T10:33:10,Rajasthan,Haryana,BOB,Axis,1,L1→L2
aa79dc79-cb87-45,UPI0001004782,sygjjfgj@paytm,333e6ba7-55b,xoq2vpgs@icici,3e35461b-eca,174408,2024-03-17T13:43:23,Kerala,Karnataka,Axis,BOB,0,clean
6793bc78-0dc4-4a,UPI0001001761,0w064w3u@okaxis,815a78a7-e61,uzpeal2w@upi,05950436-fc1,152377,2024-03-15T15:17:57,Maharashtra,Telangana,SBI,SBI,0,clean
e2474398-32d4-4d,UPI0001004831,xzamkygv@apl,32a05e88-18a,md270stl@apl,05beb72c-5c8,116905,2024-03-15T15:35:25,Telangana,West Bengal,BOB,Axis,0,clean
10948077-1fda-43,UPI0001001361,uflsehud@icici,168777e2-a06,ufm8zov7@paytm,713db7ca-950,31577,2024-03-16T22:47:31,Karnataka,Tamil Nadu,Axis,Kotak,0,clean
443ef72b-416b-41,UPI0001001486,x4sn6sm5@axl,b28fc016-34a,wviac2e4@axl,ef581a18-a36,83463,2024-03-16T08:27:37,Kerala,Kerala,BOB,PNB,0,clean
c46a0fd4-9cb3-49,UPI0001004575,5a5piskf@oksbi,2c0c791b-29d,mb1l6314@ibl,d40c7f91-9fe,194263,2024-03-16T15:03:17,Telangana,Kerala,ICICI,ICICI,0,clean
f9d705c5-5bed-47,UPI0001003490,tx63cfl0@paytm,ac541769-490,xorzpgu2@okaxis,150b1c69-9d5,94809,2024-03-18T07:44:34,Tamil Nadu,Kerala,Axis,ICICI,0,clean
b63bb5f0-4cbd-4e,UPI0001004498,gn1w1ht7@axl,61e9276c-1e5,gyw6zbnz@axl,9552ed81-97b,12354,2024-03-17T05:16:03,Tamil Nadu,Karnataka,PNB,Kotak,0,clean
bf33ccf8-23c3-4e,UPI0001003015,vqyiy1sy@oksbi,692618fb-a65,6befflzm@icici,db593e75-f7b,50907,2024-03-18T03:21:38,Gujarat,Kerala,ICICI,ICICI,0,clean
